performer;title;lyrics
M;Spit Out The Bone;Come unto me and you will feel perfection Come unto me and dedicate Come unto me, you'll never feel rejection Come unto me and terminate Remove your heart, it's only good for bleeding Bleeding through your fragile skin Remove your thought cause it's only for deceiving Deceiving thoughts destroy within Disappear like man was never here  Long live machine The future supreme Man overthrown Spit out the bone  Plug into me I guarantee devotion Plug into me and dedicate Plug into me and I'll save you from emotion Plug into me and terminate Accelerate, Utopian solution Finally cure the Earth of man Exterminate, speeding up the evolution Set on course a master plan Reinvent the earth inhabitant  Long live machine The future supreme Man overthrown Spit out the bone  The flesh betrays the flesh Your man has had his time We lay him down to rest Machined the new divine  Stop breathing And dedicate to me Stop dreaming And terminate for me All meaning You dedicate to me All feelings You terminate for me  Disappear like man was never here  Long live machine Our future supreme Your man overthrown Spit out the bone, yeah
M;Fuel;Gimme fuel Gimme fire Gimme that which I desire Ooh!  Yeah! Turn on... I see red Adrenaline crash and crack my head Nitro junkie, paint me dead And I see red  One hundred plus through black and white War horse, warhead Fuck 'em man, white-knuckle tight Through black and white  On I burn Fuel is pumping engines Burning hard, loose and clean And on I burn Churning my direction Quench my thirst with gasoline  So gimme fuel Gimme fire Gimme that which I desire  Ooh  Turn on beyond the bone Swallow future, spit out home Burn your face upon the chrome Yeah!  Take the corner, join the crash Headlights, head on, headlines Another junkie lives too fast Yeah lives way too fast, fast, fast, oohhOH!  On I burn Fuel is pumping engines Burning hard, loose and clean And on I burn Churning my direction Quench my thirst with gasoline  So gimme fuel Gimme fire Gimme that which I desire  Yeah-heah  White knuckle tight!  Gimme fuel Gimme fire My desire  On I burn Fuel is pumping engines Burning hard, loose and clean And on I burn Churning my direction Quench my thirst with gasoline  Gimme fuel Gimme fire Gimme that which I desire Ooh  On I burn 
M;Nothing Else Matters;So close no matter how far Couldn't be much more from the heart Forever trusting who we are And nothing else matters  Never opened myself this way Life is ours, we live it our way All these words I don't just say And nothing else matters  Trust I seek and I find in you Every day for us something new Open mind for a different view And nothing else matters  Never cared for what they do Never cared for what they know But I know  So close no matter how far Couldn't be much more from the heart Forever trusting who we are And nothing else matters  Never cared for what they do Never cared for what they know But I know  I never opened myself this way Life is ours, we live it our way All these words I don't just say And nothing else matters  Trust I seek and I find in you Every day for us something new Open mind for a different view And nothing else matters  Never cared for what they say Never cared for games they play Never cared for what they do Never cared for what they know And I know  So close no matter how far Couldn't be much more from the heart Forever trusting who we are No nothing else matters
N;Blandest;You're my favorite Of my saviours You're my favorite Oh no  Yes you're my favorite Of my favors You're my razor Oh no  Hey! And the situation wasn't quite As intense as I thought I need you around To remind me when not to be calm (Alt: To remind me what not to become) And the situation wasn't quite As intense as I thought I need you around To remind me when not to be calm Calm, calm, calm 
M;My Friend Of Misery;You just stood there screaming Fearing no one was listening to you They say the empty can rattles the most The sound of your own voice must soothe you Hearing only what you want to hear And knowing only what you've heard You, you're smothered in tragedy And you're out to save the world  Misery You insist that the weight of the world Should be on your shoulders Misery There's much more to life than what you see My friend of misery  You still stood there screaming No one caring about these words you tell My friend, before your voice is gone One man's fun is another's hell These times are sent to try men's souls But something's wrong with all you see You, you'll take it on all yourself Remember, misery loves company  Misery You insist that the weight of the world Should be on your shoulders Misery There's much more to life than what you see My friend of misery, my friend of misery  Misery You insist that the weight of the world Should be on your shoulders Misery There's much more to life than what you see My friend of misery  You just stood there screaming My friend of misery 
N;Even In His Youth;Even in his youth [x3] He was nothing Kept his body clean [x3] Going nowhere Daddy was ashamed [x2] He was something Digrace the family name [x2] The family name, he was something  He was born for your crew I've got nothing left to prove If I die before I wake Hope I don't come back a slave  Even in his youth [x3] He was nothing Kept his body clean [x3] Going nowhere Daddy was ashamed [x2] He was the same, he was nothing  Digrace the family name [x2] Family name, going nowhere  Leave this one, for your brew I've got nothing left to prove If I die before I wake Hope I don't come back a slave Aye-Yeah!  Leave this one, for your brew I've got nothing left to prove If I die before I wake Hope I don't come back again I'm dying!  Even in his youth [x2] Yeah, yeah Even in his youth [x2] Yeah, yeah Even in his youth Yeah, yeah Even in his youth Yeah, yeah [x5]
M;Am I Evil;My mother was a witch, she was burned alive. Thankless little bitch, for the tears I cried. Take her down now, don't want to see her face All blistered and burnt, can't hide my disgrace.  Twenty-seven, everyone was nice. Gotta see 'em make 'em pay the price. See their bodies out on the ice. Take my time.  Am I evil? Yes I am. Am I evil? I am man, yes I am.  As I watched my mother die, I lost my head. Revenge now I sought, to break with my bread. Taking no chances, you come with me. I'll split you to the bone, help set you free.  Twenty-seven, everyone was nice. Gotta see 'em make 'em pay the price. See their bodies out on the ice. Take my time.  Am I evil? Yes I am. Am I evil? I am man, yes I am.  On with the action now, I'll strip your pride. I'll spread your blood around, I'll see you ride. Your face is scarred with steel, wounds deep and neat. Like a double dozen before ya, smells so sweet.  Am I evil? Yes I am. Am I evil? I am man.  I'll make my residence, I'll watch your fire. You can come with me, sweet desire. My face is long forgot, my face not my own. Sweet and timely whore, take me home.  Am I evil? Yes I am. Am I evil? I am man.  My soul is longing for, await my heir. Sent to avenge my mother, sweep myself. My face is long forgot, my face not my own. Sweet and timely whore, take me home.  Am I evil? Yes I am. Am I evil? I am man.  Am I evil? Yes I fucking am. Am I evil? I am man, yeah. 
M;Bad Seed;Yeah Yeah Yeah Yeah Ooooohhhh Yeah  Bad  Yeah Come clean, 'fess up Tell all, spill gut Off the veil, stand revealed Show the cards Bring it on Break the seal  (Ladies and Gentleman, step right up and see the man who told the truth)  Swing the noose again Pierce the apple skin You bit more than you need Now you're choking On a bad seed On a bad seed Ahhh choking  Let on, load off Confess, cast off At the mercy, the cat is out Drop the disguise Spit it up, Spit it out  (And now, what you've all been waiting for, I give you He Who Suffers The Truth)  Swing the noose again Pierce the apple skin Yeah, you bit more than you need Now you're chokin' On the bad seed Chokin' on the bad seed, Yeah  Off the veil Stand revealed Bring it on Break the Seal At the mercy Cat is out Spit it up Spit it out Spit it up Spit it out Spit it out NOW  At the mercy  [Solo] (Swing the noose again, Pierce the apple skin, you bit more than you need, choking on the seed)  Swing the noose again Pierce the apple skin Yeah you bit more than you need Ohhh you're chokin' on a Chokin', chokin', chokin' on a bad seed Chokin' on a bad seed, Yeah  Off the veil Stand revealed Bring it on Break the Seal At the mercy Cat is out Spit it up Spit it out Spit it up Spit it out Spit it out NOW  
M;The Four Horsemen;By the last breath of the fourth winds blow Better raise your ears The sound of hooves knock at your door Lock up your wife and children now It's time to wield the blade For now you have got some company  The Horsemen are drawing nearer On leather steeds they ride They've come to take your life On through the dead of night With the Four Horsemen ride Or choose your fate and die  You have been dying since the day you were born You know it has all been planned The quartet of deliverance rides A sinner once a sinner twice No need for confessions now Cause now you have got the fight of your life  The Horsemen are drawing nearer On leather steeds they ride They've come to take your life On through the dead of night With the Four Horsemen ride Or choose your fate and die  Time Has taken its toll on you The lines that crack your face Famine Your body it has torn through Withered in every place Pestilence For what you have had to endure And what you have put others through Death Deliverance for you for sure Now there is nothing you can do  So gather round young warriors now And saddle up your steeds Killing scores with demon swords Now is the death of doers of wrong Swing the judgement hammer down Safely inside armor blood guts and sweat  The Horsemen are drawing nearer On leather steeds they ride They've come to take your life On through the dead of night With the Four Horsemen ride Or choose your fate and die 
M;King Nothing;Wish I may, wish I might Have this I wish tonight Are you satisfied? Dig for gold, dig for fame You dig to make your name Are you pacified?  All the wants you waste All the things you’ve chased  Then it all crashes down And you break your crown And you point your finger But there’s no one around Just want one thing Just to play the king But the castle’s crumbled And you’re left with just a name  Where’s your crown, King Nothing? Where’s your crown?  Hot and cold, bought and sold A heart as hard as gold Are you satisfied? Wish I might, wish I may You wish your life away Are you pacified?  All the wants you waste All the things you’ve chased  Then it all crashes down And you break your crown And you point your finger But there’s no one around Just want one thing Just to play the king But the castle’s crumbled And you’re left with just a name Where’s your crown, King Nothing? Where’s your crown?  I wish I may, I wish I might Have this wish I wish tonight I want that star, I want it now I want it all and I don’t care how  Careful what you wish Careful what you say Careful what you wish, you may regret it Careful what you wish, you just might get it  Then it all crashes down And you break your crown And you point your finger But there’s no one around Just want one thing Just to play the king But the castle’s crumbled And you’re left with just a name  Where’s your crown, King Nothing?  Nothing  You’re just nothing Where’s your crown, King Nothing? You’re just nothing Absolutely nothing  Off to never-never land 
M;Shoot Me Again;I won't go away Right here I'll stay  Stand silent in flames Stand tall 'till it fades  Shoot me again I ain't dead yet  Shoot me again  All these shots I take I spit back at you All the shit you fake Comes back to haunt you  All the shots  All the shots I take What difference did I make? All the shots I take I spit back at you  I won't go away, with a bullet in my back Right here I'll stay, with a bullet in my back  Shoot me take a shot  I'll stand on my own, with a bullet in my back I'm stranded and sold, with a bullet in my back  I bite my tongue Trying not to shoot back No compromise My heart won't pump the other way  Wake the sleeping giant Wake the beast Wake the sleeping dog No, Let him sleep
N;Dive;Oh!  Pick me - pick me yeah Live alone, lone single At least, at least yeah Everyone is hollow  Pick me - pick me yeah Everyone is waiting Pick me - pick me yeah You can even pay them  Hey  [x2] Dive [x3] Dive in me  Dive in me [x3]  Kiss this, kiss that yeah Live alone, lone single At least, at least yeah You can be my hero  Pick me - pick me yeah Everyone is waiting Hit me, hit me yeah I'm real good at hating  Hey  [x2] Dive [x3] Dive in me  Dive in me [x3]  [x3] Dive [x3] Dive in me  Dive in me [x6]
N;Blew;If you wouldn't mind I would like to blew If you wouldn't mind I would like to lose If you wouldn't care I would like to leave If you wouldn't mind I would like to breathe  Is there another reason for your stain Could you believe who we knew was stress or strain? Here is another word that rhymes with shame  If you wouldn't mind I would like to blew If you wouldn't mind I would like to lose If you wouldn't care I would like to leave If you wouldn't mind I would like to breathe  [x2] Is there another reason for your stain Could you believe who we knew was stress or strain? Here is another word that rhymes with shame  [x8] You could do anything 
N;Beans;Beans, beans, beans Jessie had some beans He was happy, happy, happy And he ate some beans  Naked, naked, naked Sitting cross-legged Naked, naked, naked And he was happy, happy, happy And he ate some beans  Wine, wine, wine Jessie had some wine He was happy, happy, happy And he ate some wine  Beans, beans, beans Daddy ate some beans And he drank some wine And he was happy, happy, happy As he drank some beans 
M;Trapped Under Ice;I don't know how to live through this hell Woken up, I'm still locked in this shell Frozen soul, frozen down to the core Break the ice, I can't take anymore  Freezing Can't move at all Screaming Can't hear my call I am dying to live Cry out I'm trapped under ice  Crystallized, as I lay here and rest Eyes of glass stare directly at death From deep sleep I have broken away No one knows, no one hears what I say  Freezing Can't move at all Screaming Can't hear my call I am dying to live Cry out I'm trapped under ice  Scream from my soul Fate, mystified Hell, forever more  No release from my cryonic state What is this? I've been stricken by fate Wrapped up tight, cannot move, can't break free Hand of doom has a tight grip on me  Freezing Can't move at all Screaming Can't hear my call I am dying to live Cry out I'm trapped under ice
M;The Unforgiven;New blood joins this earth, And quickly he's subdued. Through constant pained disgrace The young boy learns their rules.  With time the child draws in. This whipping boy done wrong. Deprived of all his thoughts The young man struggles on and on he's known A vow unto his own, That never from this day His will they'll take away.  What I've felt, What I've known Never shined through in what I've shown. Never be. Never see. Won't see what might have been.  What I've felt, What I've known Never shined through in what I've shown. Never free. Never me. So I dub thee unforgiven.  They dedicate their lives To running all of his. He tries to please them all – This bitter man he is.  Throughout his life the same – He's battled constantly. This fight he cannot win – A tired man they see no longer cares.  The old man then prepares To die regretfully – That old man here is me.  What I've felt, What I've known Never shined through in what I've shown. Never be. Never see. Won't see what might have been.  What I've felt, What I've known Never shined through in what I've shown. Never free. Never me. So I dub thee unforgiven.  [Solo]  What I've felt, What I've known Never shined through in what I've shown. Never be. Never see. Won't see what might have been.  What I've felt, What I've known Never shined through in what I've shown. Never free. Never me. So I dub thee unforgiven.  Never free. Never me. So I dub thee unforgiven.  You labelled me, I'll label you. So I dub thee unforgiven.  Never free. Never me. So I dub thee unforgiven.  You labelled me, I'll label you. So I dub thee unforgiven.  Never free. Never me. So I dub thee unforgiven. 
N;Sliver;Mom and dad went to a show They dropped me off at Grandpa Joe's I kicked and screamed, said please, don't go  Grandma take me home [x8]  Had to eat my dinner there Mashed potatoes and stuff like that I couldn't chew my meat too good  Grandma take me home [x8]  Said, why don't you stop your crying Go outside and ride your bike That's what I did, I killed my toe  Grandma take me home [x8]  After dinner, I had ice cream I fell asleep, and watched TV I woke up in my mother's arms  Never take me home [x19] I wanna be alone 
M;...And Justice For All;Halls of justice painted green Money talking Power wolves beset your door Hear them stalking Soon you’ll please their appetite They devour Hammer of justice crushes you Overpower  The ultimate in vanity Exploiting their supremacy I can’t believe the things you say I can’t believe I can’t believe the price you pay Nothing can save you  Justice is lost Justice is raped Justice is gone Pulling your strings Justice is done Seeking no truth Winning is all Find it so grim So true So real  Apathy their stepping stone So unfeeling Hidden deep animosity So deceiving Through your eyes their light burns Hoping to find Inquisition sinking you With prying minds  The ultimate in vanity Exploiting their supremacy I can’t believe the things you say I can’t believe I can’t believe the price you pay Nothing can save you  Justice is lost Justice is raped Justice is gone Pulling your strings Justice is done Seeking no truth Winning is all Find it so grim So true So real  Lady Justice has been raped Truth assassin Rolls of red tape seal your lips Now you’re done in Their money tips her scales again Make your deal Just what is truth? I cannot tell Cannot feel  The ultimate in vanity Exploiting their supremacy I can’t believe the things you say I can’t believe I can’t believe the price we pay Nothing can save us  Justice is lost Justice is raped Justice is gone Pulling your strings Justice is done Seeking no truth Winning is all Find it so grim So true So real  Seeking no truth Winning is all Find it so grim So true So real 
M;Disposable Heroes;Bodies fill the fields I see, hungry heroes end No one to play soldier now, no one to pretend Running blind through killing fields, bred to kill them all Victim of what said should be A servant 'til I fall  Soldier boy, made of clay Now an empty shell Twenty-one, only son But he served us well Bred to kill, not to care Do just as we say Finished here Greetings, Death He’s yours to take away  Back to the front You will do what I say, when I say Back to the front You will die when I say, you must die Back to the front You coward You servant You blind man  Barking of machinegun fire does nothing to me now Sounding of the clock that ticks, get used to it somehow More a man, more stripes you bare, glory-seeker trends Bodies fill the fields I see The slaughter never ends  Soldier boy, made of clay Now an empty shell Twenty-one, only son But he served us well Bred to kill, not to care Do just as we say Finished here Greetings, Death He’s yours to take away  Back to the front You will do what I say, when I say Back to the front You will die when I say, you must die Back to the front You coward You servant You blind man  Why, am I dying? Kill, have no fear Lie, live off lying Hell, hell is here  I was born for dying  Life planned out before my birth, nothing could I say Had no chance to see myself, molded day by day Looking back I realize, nothing have I done Left to die with only friend Alone I clench my gun  Soldier boy, made of clay Now an empty shell Twenty-one, only son But he served us well Bred to kill, not to care Do just as we say Finished here Greetings, Death He’s yours to take away  Back to the front You will do what I say, when I say Back to the front You will die when I say, you must die Back to the front You coward You servant You blind man  Back to the front
M;Hell And Back;There is nowhere else I can run to She is wretched but she comforts me After everyone goes home She's always there for me And when the sun goes hellbound And the moon does resurrect the night I'll hide within her Not much good has come out the light  After everyone goes home And I'm left here on my own I will run straight to Hell and back Straight to Hell and back When they turn out all their lights And I'm left to brood at night Always return to Hell and back Straight to Hell and back Straight down  A lonely light in a window Just longing for some company Tragic, heartless and hateful But there's nothing as willing as she And when the night has fallen It falls hard and then it all begins When she starts her calling I feel my darkness growing from within  I become two We become one Unbridled... unequaled... unholy... undone The path is cut deep The path is worn well I'll follow my footsteps to the warmth of Hell The warmth of Hell 
M;That Was Just Your Life;Like a siren in my head that always threatens to repeat Like a blind man that is strapped into the speeding driver’s seat Like a face that learns to speak When all it knew was how to bite  Like a misery that keeps me focused though I've gone astray Like an endless nightmare that I must awaken from each day Like conviction A premonition Not worthy of, so I deny…I deny  I blind my eyes and try to force it all into place I stitch them up, see not my fall from grace I blind my eyes, I hide and feel it passing me by I open just in time to say goodbye  Almost like your life Almost like your endless fight Curse the day is long Realize you don't belong Disconnect somehow Never stop the bleeding now Almost like your fight And there it went Almost like your life  Like a wound that keeps on bleeding to remind me not to think Like a raging river drowning when I only need a drink Like a poison that I swallow but I want the world to die  Like a release from prison that I didn't know I was in Like a fight to live the past I prayed to leave From way back then Like a general without a mission Until the war will start again…start again  I blind my eyes and try to force it all into place I stitch them up, see not my fall from grace I blind my eyes, I hide and feel it passing me by I open just in time to say goodbye  Almost like your life Almost like your endless fight Curse the day is long Realize you don't belong Disconnect somehow Never stop the bleeding now Almost like your fight And there it went Almost like your life  Like a touch from hell to feel how hot That it can get if you get caught Like a strike from heaven turns that key And brings you straight down to your knees  Like a touch from hell to feel how hot That it can get if I get caught Like a strike from heaven to reprieve That brings you straight down to your knees  Almost like your life Almost like your endless fight Curse the day is long Realize you don't belong Disconnect somehow Never stop the bleeding now Almost like your fight And there it went Almost like your life That was just your life 
M;Helpless;I've gotta see you moving fast, see you come my way. See the dreams, I hope they last, never fade away. Gotta see the lights above, make it loud tonight. Gotta set it all afire, set it all alight.  See the flashing lights, hear the thunder roar, I am gonna set you all alight. Gotta make it man, I ain't got a choice, Gotta fill this hall tonight.  Helpless, helpless, helpless, helpless.  I don't know what I'm gonna do, maybe not tonight. Gotta set you all afire, gotta treat you right. I can see the flashing lights, lit before your love. Gotta hear the thunder roar, coming from above.  See the flashing lights, hear the thunder roar, I am gonna set you all alight. Gotta make it man, I ain't got a choice, Gotta fill this hall tonight.  Helpless, helpless, helpless, helpless.  I can see the stars, I can see what's going on. Every night alone I sing my song just for fun. Only time will tell if I'll make it myself someday. This stage is mine, music is my destiny.  Cannot squeeze the life from me.  I can see the stars, I can see what's going on. Every night alone I sing my song just for fun. Only time will tell if I'll make it myself someday. This stage is mine, music is my destiny.  Cannot squeeze the life from me.
M;I Disappear;Hey Hey Hey Here I go now Here I go into new days Hey Hey Hey Here I go now Here I go into new days  I'm pain, I'm hope, I'm suffer Yeah Hey Hey Hey Yeah Yeah Here I go into new days  Hey Hey Hey Ain't no mercy Ain't no mercy there for me Hey Hey Hey Ain't no mercy Ain't no mercy there for me  I'm pain, I'm hope, I'm suffer Yeah Yeah Hey, Hey no mercy Ain't no mercy there for me  Do you bury me when I'm gone Do you teach me while I'm here Just as soon as I belong Then it's time I disappear  Hey Hey Hey And I went And I went on down that road Hey Hey Hey And I went on And I went on down that road  I'm pain, I'm hope, I'm suffer Hey Hey Hey Yeah, And I went on And I went on down that road  Do you bury me when I'm gone Do you teach me while I'm here Just as soon as I belong Then it's time I disappear  Do you bury me when I'm gone Do you teach me while I'm here Just as soon as I belong Then it's time I disappear  Do you bury me when I'm gone Do you teach me while I'm here Just as soon as I belong Then it's time I disappear  Do you bury me when I'm gone Do you teach me while I'm here Just as soon as I belong Then it's time I disappear 
M;The Shortest Straw;Suspicion is your name Your honesty to blame Put dignity to shame Dishonor Witchhunt, modern day Determining decay The blatant disarray Disfigure The public eye’s disgrace Defying common place Unending paper chase Unending  Deafening Painstaking Reckoning This vertigo it doth bring  Shortest straw Challenge liberty Downed by law Live in infamy Rub you raw Witchhunt riding through Shortest straw The shortest straw has been pulled for you  Pulled for you Shortest straw Pulled for you Shortest straw Pulled for you Shortest straw The shortest straw has been pulled for you  The accusations fly Discrimination, why? Your inner self to die Intruding Doubt sunk itself in you Its teeth and talons through You’re living Catch-22 Deluding A mass hysteria A megalomania Reveal dementia Reveal  Secretly Silently Certainly In vertigo you will be  Shortest straw Challenge liberty Downed by law Live in infamy Rub you raw Witchhunt riding through Shortest straw This shortest straw has been pulled for you  Pulled for you Shortest straw Pulled for you Shortest straw Pulled for you Shortest straw Shortest straw has been pulled for you Shortest straw Pulled for you Shortest straw Pulled for you Shortest straw Pulled for you Shortest straw Shortest straw has been pulled for you  Behind you, hands are tied Your being, ostracized Your hell is multiplied Upending The fallout has begun Oppressive damage done Your many turned to none To nothing You’re reaching your nadir Your will has disappeared The lie is crystal clear Defending  Channels red One word said Blacklisted With vertigo make you dead  Shortest straw Challenge liberty Downed by law Live in infamy Rub you raw Witchhunt riding through Shortest straw The shortest straw has been pulled for you Pulled for you 
M;The Day That Never Comes;Born to push you around Better just stay down You pull away He hits the flesh You hit the ground  Mouth so full of lies Tend to black your eyes Just keep them closed Keep praying Just keep waiting  Waiting for the one The day that never comes When you stand up and feel the warmth But the sunshine never comes No, the sunshine never comes  Push you cross that line Just stay down this time Hide in yourself Crawl in yourself You’ll have your time  God I’ll make them pay Take it back one day I’ll end this day I’ll splatter color on this gray  Waiting for the one The day that never comes When you stand up and feel the warmth But the sunshine never comes  Love...is a four letter word And never spoken here Love...is a four letter word Here in this prison  I suffer this no longer I’ll put an end to this, I swear This, I swear The Sun will shine This, I swear This, I swear This, I swear! 
M;Cure;The man takes another bullet He keeps them all within He must seek no matter how it hurts So don’t fool again  He thinks the answer’s cold and in his hand He takes his medicine The man takes another bullet He’s been fooled again  Uncross your arms Take and throw them to the cure, say, “I do believe”  Uncross your arms now Take them to it, say “I do believe” “I do believe”  The lies tempt her and she follows Again she lets him in She must believe to fill the hollow She’s been fooled again  Uncross your arms Take and throw them to the cure, say “I do believe”  Uncross your arms now Take them to it, say, “I do believe” “Yeah, I do believe”  Betting on the cure It must get better than this Betting on the cure Everyone’s got to have the sickness ‘Cause everyone seems to need the cure Precious cure  Betting on the cure ‘Cause it must get better than this Betting on the cure Everyone’s got to have the sickness ‘Cause everyone seems to need the cure Precious cure  “I do believe”  Betting on the cure It must get better than this Need to feel secure It’s got to get better than this It must get better than this Betting on the cure Everyone’s got to have the sickness ‘Cause everyone seems to need the cure  “I do believe” 
N;Negative Creep;This is out of our reach [x3] Grown This is getting to be [x3] Drone I'm a negative creep [x3] And I'm stoned! I'm a negative creep [x3] And oh...  Daddy's little girl ain't a girl no more [x6]  This is out of our range [x3] And it's grown This is getting to be [x3] Like drone I'm a negative creep [x3] And I'm stoned! I'm a negative creep [x3] And I'm...  Daddy's little girl ain't a girl no more [x6]  Yeah! Drone! Stoned!  Daddy's little girl ain't a girl no more... 
M;Fade To Black;Life, it seems, will fade away Drifting further every day Getting lost within myself Nothing matters, no one else  I have lost the will to live Simply nothing more to give There is nothing more for me Need the end to set me free  Things not what they used to be Missing one inside of me Deathly lost, this can't be real Cannot stand this hell I feel  Emptiness is filling me To the point of agony Growing darkness taking dawn I was me, but now he's gone  No one but me can save myself, but it's too late Now I can't think, think why I should even try  Yesterday seems as though it never existed Death greets me warm, now I will just say goodbye 
N;Big Long Now;It's not cold enough Please put this side up She is moving through Can we show our faces now?  I'm not interesting She's not turning green Shameful as it seems Can we show our faces now?  Endless climb I am blind Why can't I hear? Color blind Speaking a phrase Instantly grown I am blind Waiting in line  It's not cold enough Please put this side up She is moving through Can we show our faces now?  I'm not interesting She's not turning green Shameful as it seems Can we show our faces now?  Endless climb I am blind Why can't I hear? Color blind Speaking a phrase Instantly grown I am blind  Why am I sure?
N;Serve The Servants;Teenage angst has paid off well Now I'm bored and old Self-appointed judges judge More than they have sold  If she floats than she is not A witch like we had thought A down payment on another One at salem's lot  Serve the servants - Oh no [x4]  That legendary divorce is such a bore  As my bones grew they did hurt They hurt really bad I tried hard to have a father But instead I had a dad  I just want you to know that I Don't hate you anymore There is nothing I could say That I haven't thought before  Serve the servants - Oh no [x4]  That legendary divorce is such a bore  Serve the servants - Oh no [x7]  That legendary divorce is such a bore
M;The Struggle Within;Reaching out for something you've got to feel While clutching to what you had thought was real  Kicking at a dead horse pleases you No way of showing your gratitude So many things you don't want to do What is it? What have you got to lose?  What the hell? What is it you think you're going to find? Hypocrite Boredom sets into the boring mind  Struggle within, it suits you fine Struggle within, your ruin Struggle within, you seal your own coffin Struggle within, the struggling within  Home is not a home, it becomes a hell Turning it into your prison cell Advantages are taken, not handed out While you struggle inside your hell  Reaching out Grabbing for something you've got to feel Closing in The pressure upon you is so unreal  Struggle within, it suits you fine Struggle within, your ruin Struggle within, you seal your own coffin Struggle within, the struggling within  Struggle  Reaching out for something you've got to feel While clutching to what you had thought was real  What the hell? What is it you think you're going to find? Hypocrite Boredom sets into the boring mind  Struggle within, it suits you fine Struggle within, your ruin Struggle within, you seal your own coffin Struggle within, the struggling within 
M;Poor Twisted Me;Oh, poor twisted me Oh, poor twisted me I feast on sympathy I chew on suffer I chew on agony  Swallow whole the pain Oh, it’s too good to be That all this misery Is just for, oh, poor twisted me Poor twisted me  Poor mistreated me Poor mistreated me I drown without a sea Lungs fill with sorrow Lungs fill with misery  Inhaling the deep, dark blue Oh, woe is me Such a burden to be The poor mistreated me  To finally reach the shore, survive the storm Now you’re bare and cold, the sea was warm So warm, you bathe your soul again  Baby, again and again and again  You finally reached the shore, survived the storm Now you’re bare and cold, the sea was warm So warm, you bathe your soul again  Good to feel my friend Oh, woe is me Such a burden to be Oh, poor twisted me Yo, poor twisted me 
N;Lithium;I'm so happy, 'cause today I've found my friends They're in my head I'm so ugly, that's okay, 'cause so are you We've broke our mirrors Sunday morning, is every day for all I care And I'm not scared Light my candles, in a daze, 'cause I've found God  Yeah, yeah Yeah, yeah Yeah, yeah Yeah, yeah Yeah, yeah Yeah, yeah Yeah  I'm so lonely, that's okay, I shaved my head And I'm not sad And just maybe I'm to blame for all I've heard But I'm not sure I'm so excited, I can't wait to meet you there But I don't care I'm so horny, that's okay, my will is good  Yeah, yeah Yeah, yeah Yeah, yeah Yeah, yeah Yeah, yeah Yeah, yeah Yeah  I like it, I'm not gonna crack I miss you, I'm not gonna crack I love you, I'm not gonna crack I killed you, I'm not gonna crack I like it, I'm not gonna crack I miss you, I'm not gonna crack I love you, I'm not gonna crack I killed you, I'm not gonna crack  I'm so happy, 'cause today I've found my friends They're in my head I'm so ugly, that's okay, 'cause so are you, We've broke our mirrors Sunday morning, is every day for all I care, And I'm not scared Light my candles, in a daze, 'cause I've found God  Yeah, yeah Yeah, yeah Yeah, yeah Yeah, yeah Yeah, yeah Yeah, yeah Yeah  I like it, I'm not gonna crack I miss you, I'm not gonna crack I love you, I'm not gonna crack I killed you, I'm not gonna crack I like it, I'm not gonna crack I miss you, I'm not gonna crack I love you, I'm not gonna crack I killed you, I'm not gonna crack 
M;The Judas Kiss;When the world has turned its back When the days have turned pitch black When the fear abducts your tongue When the fire's dead and gone  So what now? Where go I?  When you think it's all said and done When you are the ostracized Selfish ridden dead goodbyes Twisting of the tourniquet When the pieces never fit  So what now? Where go I?  When you think it's all said and done  Bow down Sell your soul to me I will set you free Pacify your demons  Bow down Surrender unto me Submit infectiously Sanctify your demons  Into abyss You don't exist Cannot resist The Judas kiss  When the storm has blacked your sky Intuition crucify When the ego strips your reign Assassinate the living flame  So what now? Where go I?  When you think it's all said and done Venom of a life insane Bites into your fragile veins Internalize and decimate Patronize and complicate  So what now? Where go I?  When you think it's all said and done  Bow down Sell your soul to me I will set you free Pacify your demons  Bow down Surrender unto me Submit infectiously Sanctify your demons  Into abyss You don't exist Cannot resist The Judas kiss  Judas lives recite this vow I've become your new god now  Follow you from dawn of time Whisper thoughts into your mind Watched your towers hit the ground Lured the children never found Helped your kings abuse their crown  In the heart of evil man Plant the seeds of my own plan Strong and powerful will fall Find a piece of me in all Inside you all  So bow down Sell your soul to me I will set you free Pacify your demons  Bow down Surrender unto me Submit infectiously Sanctify your demons  Into abyss You don't exist Cannot resist The Judas kiss 
N;Plateau;Many a hand has scaled the grand old face of the plateau Some belong to strangers and some to folks you know Holy ghosts and talk show hosts are planted in the sand To beautify the foothills and shake the many hands  There's nothing on the top but a bucket and a mop And an illustrated book about birds You see a lot up there but don't be scared Who needs action when you got words  When you've finished with the mop then you can stop And look at what you've done The plateau's clean, no dirt to be seen And the work it was fun  There's nothing on the top but a bucket and a mop And an illustrated book about birds You see a lot up there but don't be scared Who needs action when you got words  Well the many hands began to scan around for the next plateau Some said it was in Greenland and some say Mexico Others decided it was nowhere except for where they stood But those were all just guesses, wouldn't help you if they could 
